Site,Date Range of Specimen Collection,Round,Catchment FIPS Code Description,Catchment Area Description,Catchment population,n [0-17 Years Prevalence],Rate (%) [0-17 Years Prevalence],Lower CI [0-17 Years Prevalence],Upper CI [0-17 Years Prevalence],CI Flag [0-17 Years Prevalence],n [18-49 Years Prevalence],Rate (%) [18-49 Years Prevalence],Lower CI [18-49 Years Prevalence],Upper CI [18-49 Years Prevalence],CI Flag [18-49 Years Prevalence],n [50-64 Years Prevalence],Rate (%) [50-64 Years Prevalence],Lower CI [50-64 Years Prevalence],Upper CI [50-64 Years Prevalence],CI Flag [50-64 Years Prevalence],n [65+ Years Prevalence],Rate (%) [65+ Years Prevalence],Lower CI [65+ Years Prevalence],Upper CI [65+ Years Prevalence],CI Flag [65+ Years Prevalence],n [Male Prevalence],Rate (%) [Male Prevalence],Lower CI [Male Prevalence],Upper CI [Male Prevalence],CI Flag [Male Prevalence],n [Female Prevalence],Rate (%) [Female Prevalence],Lower CI [Female Prevalence],Upper CI [Female Prevalence],CI Flag [Female Prevalence],n [Cumulative Prevalence],Rate (%) [Cumulative Prevalence],Lower CI [Cumulative Prevalence],Upper CI [Cumulative Prevalence],CI Flag [Cumulative Prevalence],Estimated cumulative infections count,Estimated cumulative infections lower CI 7,Estimated cumulative infections upper CI 7,All age-sex strata had at least one positive,Site Large CI Flag
MD,"Jan 21 -  Feb 4, 2021",13,Statewide,Statewide,6003435,61,777,,,,448,33,28.57,37.18,0,463,14.9,11.67,18.49,0,483,6.9,4.65,9.27,0,703,24.7,20.91,28.67,0,752,20.6,16.42,25.34,0,1455,22.6,19.42,25.51,0,1356776,1165867,1531476,true,false
ME,"Jan 25 -  Feb 5, 2021",13,Statewide,Statewide,1332813,23,777,,,,272,3.1,1,5.77,0,177,3.7,0.7,7.84,0,162,2.6,0,5.82,1,256,3.7,1.45,6.54,0,378,3,0.66,6.53,0,634,3.4,1.41,5.53,0,45316,18793,73705,true,true
MI,"Jan 25 -  Feb 7, 2021",13,Statewide,Statewide,9957488,79,23,14.34,32.03,0,385,20.4,15.97,24.64,0,498,16.2,12.64,19.76,0,389,11.6,8.21,15.19,0,569,17.9,13.83,22.23,0,782,19.4,15.78,22.95,0,1351,18.7,16.08,21.28,0,1862050,1601164,2118953,true,false
MN,"Jan 20 - Jan 30, 2021",13,Statewide,Statewide,5527358,95,10.2,4.39,17.15,0,510,15.7,11.75,19.68,0,398,16.1,11.86,20.67,0,291,9.2,5.38,13.18,0,485,14,9.96,18.04,0,809,13.1,10.02,16.08,0,1294,13.5,11.04,16.16,0,746193,610220,893221,true,false
MO,"Jan 25 -  Feb 7, 2021",13,Statewide,Statewide,6090062,153,22.6,14.67,31.24,0,361,31,23.96,38.28,0,379,22.2,16,28.84,0,440,19.5,13.81,26.09,0,586,26.3,20.05,31.88,0,747,24.6,20.17,29.28,0,1333,25.5,21.67,28.87,0,1552966,1319716,1758201,true,false
MS,"Jan 25 -  Feb 7, 2021",13,Statewide,Statewide,2988762,105,35.4,25.91,46.27,0,429,27.2,22.48,32.02,0,348,19.9,15.65,24.46,0,364,18.5,14.29,23.07,0,461,26.7,21.11,32.42,0,785,26.3,22.46,30.1,0,1246,26.5,22.87,29.96,0,792022,683530,895433,true,false
MT,"Jan 22 -  Feb 5, 2021",13,Statewide,Statewide,1041732,22,777,,,,241,12,7.36,16.33,0,174,16.6,11.31,23.23,0,141,8.1,3.5,13.3,0,235,16.1,8.68,25.31,0,343,14.1,9.76,19.19,0,578,15.1,10.4,20.41,0,157302,108340,212618,true,false
NC,"Jan 25 -  Feb 3, 2021",13,Statewide,Statewide,10155624,324,19,14.43,23.14,0,434,21.8,18,25.58,0,449,15.9,12.13,19.57,0,473,9.5,6.84,12.02,0,668,19,15.5,22.71,0,1012,17.2,14.61,19.67,0,1680,18.1,15.94,20.38,0,1838168,1618806,2069716,true,false
ND,"Jan 29 - Jan 29, 2021",13,Statewide,Statewide,752201,0,666,,,,2,777,,,,0,666,,,,0,666,,,,1,777,,,,1,777,,,,2,777,,,,,,,false,
NE,"Jan 21 -  Feb 5, 2021",13,Statewide,Statewide,1904760,64,777,,,,685,24.8,21.28,28.77,0,322,26.5,21.65,32.12,0,223,12,7.25,17.07,0,636,27,21.97,32.82,0,658,19.8,15.7,24.34,0,1294,23.4,19.72,26.97,0,445714,375619,513714,true,false
NH,"Jan 25 - Jan 28, 2021",13,Statewide,Statewide,1343622,34,777,,,,522,10,7.4,13.12,0,408,4.5,2.4,6.9,0,334,6.7,3.59,9.68,0,542,6.2,4.02,8.47,0,756,6.2,4.55,7.99,0,1298,6.2,4.97,7.67,0,83305,66778,103056,false,false
NJ,"Jan 21 -  Feb 4, 2021",13,Statewide,Statewide,8881845,162,35.1,27.65,42.52,0,344,25.9,21.03,30.22,0,326,18.6,14.19,22.85,0,342,12.7,9.26,16.32,0,508,25.9,21.76,30.57,0,666,22.9,19.31,26.69,0,1174,24.4,21.84,27.28,0,2167170,1939795,2422967,true,false
NM,"Jan 21 -  Feb 5, 2021",13,Statewide,Statewide,2092434,174,24.5,17.32,32,0,374,27.8,22.83,32.75,0,375,20.3,16.02,24.99,0,374,12.8,9.53,16.48,0,524,21.1,16.53,25.35,0,773,25.1,21.31,28.96,0,1297,23.1,20.28,25.86,0,483352,424346,541103,true,false
NV,"Jan 25 -  Feb 4, 2021",13,Statewide,Statewide,2922849,190,25.5,19.22,32.05,0,505,30.7,26.38,35.1,0,454,20.7,16.71,24.47,0,463,10.4,7.66,13.61,0,700,25.6,21.66,29.8,0,912,23.6,20.35,26.87,0,1612,24.6,22.05,27.22,0,719021,644488,795599,true,false
NY,"Jan 23 -  Feb 3, 2021",13,Statewide,Statewide,19618453,250,9.7,5.98,13.33,0,371,13.1,9.45,16.68,0,347,12.5,8.84,16.33,0,341,9.9,6.78,13.46,0,589,12.6,9.8,15.65,0,720,11,8.27,13.56,0,1309,11.7,9.9,13.8,0,2295359,1942227,2707347,true,false
OH,"Jan 25 -  Feb 2, 2021",13,Statewide,Statewide,11641879,251,28.6,22.14,35.12,0,314,33.7,28.41,39.17,0,346,31.2,26.07,36.65,0,469,16.3,12.49,20.4,0,681,35.6,31.57,39.67,0,699,23.1,19.71,26.61,0,1380,29.2,26.36,31.91,0,3399429,3068799,3714924,true,false
OK,"Jan 21 - Jan 29, 2021",13,Statewide,Statewide,3918137,324,24.7,20.13,29.46,0,325,21.8,17.41,26.35,0,325,18.1,13.76,22.98,0,325,13.9,9.75,18.18,0,556,21,17.01,24.92,0,743,20.2,17.01,23.64,0,1299,20.6,18.06,23.09,0,807136,707616,904698,true,false
OR,"Jan 19 -  Feb 6, 2021",13,Statewide,Statewide,4081943,242,11.8,8.02,16.66,0,343,10.5,7.03,14.59,0,329,10.1,6.4,14.18,0,391,3.5,1.69,5.54,0,530,9,6.05,12.39,0,775,10,7.3,12.8,0,1305,9.5,7.53,11.49,0,387785,307370,469015,true,false
PA,"Jan 25 -  Feb 7, 2021",13,Statewide,Statewide,12791181,351,14.1,10.33,18,0,425,19.3,14.66,24.15,0,405,14.5,10.84,18.22,0,358,8,5.08,11.19,0,653,15.3,11.62,19.44,0,886,15.1,12.38,18.05,0,1539,15.2,12.75,17.69,0,1944260,1630876,2262760,true,false
PR,"Jan 25 -  Feb 2, 2021",13,Statewide,Statewide,3386941,325,8.8,5.44,12.91,0,325,22,16.57,27.53,0,325,12.5,8.27,17.14,0,325,7.5,4.5,10.94,0,536,13.4,9.48,17.59,0,764,15.9,12.72,19.37,0,1300,14.7,12.11,17.42,0,497880,410159,590005,true,false
RI,"Jan 25 -  Feb 6, 2021",13,Statewide,Statewide,1056611,87,9.1,3.48,15.71,0,562,10.9,8.3,13.5,0,411,11.6,8.36,14.66,0,350,7.9,5.18,10.64,0,615,10.2,7.56,13.3,0,795,10.2,7.73,12.65,0,1410,10.2,8.52,11.97,0,107774,90023,126476,true,false
SC,"Jan 25 -  Feb 5, 2021",13,Statewide,Statewide,4955925,335,25.9,20.64,30.86,0,333,21.4,16.74,26.2,0,327,19.8,15.53,24.95,0,322,15.3,11.53,19.36,0,525,18,14.24,21.79,0,792,24,20.76,27.71,0,1317,21.1,18.64,23.65,0,1045700,923784,1172076,true,false
SD,"Jan 25 -  Feb 5, 2021",13,Statewide,Statewide,864289,4,777,,,,34,777,,,,17,777,,,,22,777,,,,27,777,,,,50,777,,,,77,25,15.16,38.08,0,216072,131026,329121,true,false
TN,"Jan 25 -  Feb 7, 2021",13,Statewide,Statewide,6651089,230,34.3,27.5,39.92,0,385,26.3,21.57,30.94,0,539,20.1,16.61,23.62,0,509,13.3,9.93,16.31,0,685,22.1,18.28,26.05,0,978,27.4,23.91,30.6,0,1663,24.8,22.26,27.29,0,1649470,1480532,1815082,true,false
TX,"Jan 21 -  Feb 2, 2021",13,Statewide,Statewide,27885195,79,30.3,20.6,41.12,0,491,35.3,30.46,39.95,0,488,21.6,17.86,25.32,0,518,12.4,9.73,15.52,0,734,27.7,23.13,32.91,0,842,30.1,24.94,35.24,0,1576,28.9,25.49,32.48,0,8058821,7107936,9057111,true,false
UT,"Jan 25 -  Feb 4, 2021",13,Statewide,Statewide,3045350,87,31.2,19.98,42.44,0,465,27.7,23.23,32.14,0,536,23.9,19.33,28.39,0,386,14.9,10.94,19.04,0,571,29.4,23.24,35.97,0,903,24.3,19.4,29.08,0,1474,26.9,23.04,30.85,0,819199,701649,939490,true,false
VA,"Jan 21 -  Feb 4, 2021",13,Statewide,Statewide,8413774,19,777,,,,473,15.5,11.88,19.36,0,428,8.3,5.53,11.71,0,443,6.7,4.24,9.63,0,522,8.8,5.09,14,0,841,15.8,11.84,21.11,0,1363,12.3,9.66,15.53,0,1034894,812771,1306659,true,false
VT,"Jan 25 -  Feb 5, 2021",13,Statewide,Statewide,624977,15,777,,,,270,1,0,2.97,1,187,2.5,0.39,4.77,0,177,0.7,0,2.08,1,245,1.7,0,3.76,0,404,0.8,0.16,1.67,0,649,1.3,0.37,2.39,0,8125,2312,14937,false,true
WA,"Jan 22 -  Feb 6, 2021",13,Statewide,Statewide,7294336,316,8.6,5.29,12.12,0,333,11.6,8.09,15.39,0,324,8.5,5.47,11.89,0,343,4.8,2.39,7.6,0,552,9,6.1,11.69,0,764,9.6,7.15,12.19,0,1316,9.3,7.37,11.39,0,678373,537593,830825,true,false
WI,"Jan 25 -  Feb 3, 2021",13,Statewide,Statewide,5778394,89,27.6,18.13,37.53,0,399,27,22.35,31.85,0,408,27.5,21.93,32.64,0,348,20.7,16.18,25.62,0,547,27.4,22.71,32.57,0,697,25.1,21.35,29.12,0,1244,26.2,23.03,29.47,0,1513939,1330764,1702893,true,false
WV,"Jan 22 -  Feb 6, 2021",13,Statewide,Statewide,1829054,35,777,,,,446,12.8,8.89,16.14,0,329,9.3,5.86,13.07,0,347,9.2,6.4,12.62,0,514,11.6,7.92,16.53,0,643,10.1,6.81,13.31,0,1157,10.9,8.56,13.62,0,199367,156567,249117,true,false
WY,"Jan 25 -  Feb 6, 2021",13,Statewide,Statewide,581836,4,777,,,,51,777,,,,62,777,,,,46,777,,,,43,777,,,,120,27,17.9,38.29,0,163,26.4,16.76,37.66,0,153605,97516,219119,true,false
AK,"Feb 5 - Feb 20, 2021",14,Statewide,Statewide,738516,54,777,,,,534,8.9,6.32,11.65,0,345,11.2,7.49,14.92,0,378,7,4.4,9.94,0,522,14,8.33,20.25,0,789,10.9,7.45,14.53,0,1311,12.5,9.22,16.41,0,92315,68091,121190,true,false
AL,"Feb 8 - Feb 21, 2021",14,Statewide,Statewide,4864680,141,32.2,24.96,40.63,0,508,25.8,22.14,29.57,0,394,17.6,13.91,21.58,0,334,14.9,10.86,19.42,0,555,24.3,20.37,29.1,0,822,23.4,20.37,26.59,0,1377,23.8,21.16,26.51,0,1157794,1029366,1289627,true,false
AR,"Feb 8 - Feb 20, 2021",14,Statewide,Statewide,2990671,123,34.4,26.57,43.33,0,331,19,14.67,23.72,0,333,20.5,15.82,25.46,0,284,11.5,8,15.69,0,493,20.9,17.02,25.3,0,578,22.4,18.2,26.81,0,1071,21.7,18.82,24.76,0,648976,562844,740490,true,false
AZ,"Feb 8 - Feb 18, 2021",14,Statewide,Statewide,6946685,298,32,26.7,37.66,0,412,28.2,23.52,33.36,0,362,20.9,16.33,25.67,0,371,15.7,11.87,19.93,0,608,24.5,20.82,28.67,0,835,26.8,23.3,30.12,0,1443,25.7,23.16,28.35,0,1785298,1608852,1969385,true,false
CA,"Feb 8 - Feb 15, 2021",14,Statewide,Statewide,39148760,326,34.2,28.63,39.34,0,324,20.2,16.1,25.11,0,326,17.8,13.6,22.02,0,316,9.9,6.88,13.46,0,549,22.9,19.08,26.9,0,743,20.3,17.23,23.6,0,1292,21.6,19.15,24.11,0,8456132,7496988,9438766,true,false
CO,"Feb 4 - Feb 12, 2021",14,Statewide,Statewide,5531141,124,16.9,9.37,26.08,0,401,16.2,11.93,20.9,0,396,15.7,11.34,20.29,0,402,7.4,4.6,11.28,0,612,18.3,13.89,22.79,0,711,11.8,9.01,14.71,0,1323,15.1,12.4,18.06,0,835202,685861,998924,true,false
CT,"Feb 8 - Feb 20, 2021",14,Statewide,Statewide,3581504,323,11.3,7.99,15.17,0,326,12.1,8.45,16.07,0,321,11.1,7.45,15.04,0,323,8.8,5.97,12.13,0,542,10.4,7.7,13.32,0,751,11.9,9.25,14.68,0,1293,11.2,9.23,13.23,0,401128,330573,473833,true,false
DC,"Feb 8 - Feb 21, 2021",14,Statewide,Statewide,684498,134,15.9,9.49,23.14,0,428,21.5,17.33,25.38,0,331,17.5,13.56,21.69,0,448,11,8.01,13.98,0,539,20,15.58,24.22,0,802,17.3,14.23,20.77,0,1341,18.6,15.87,21.31,0,127317,108630,145867,true,false
DE,"Feb 8 - Feb 20, 2021",14,Statewide,Statewide,949495,175,24.5,18.03,31.33,0,394,16.1,12.41,19.93,0,372,11.6,8.18,15.06,0,396,9.2,6.11,12.36,0,523,16.3,12.96,20.26,0,814,15.2,12.47,17.99,0,1337,15.8,13.5,18.04,0,150020,128182,171289,true,false
FL,"Feb 8 - Feb 19, 2021",14,Statewide,Statewide,20598139,329,21.9,17.54,26.42,0,336,22.4,17.94,26.97,0,334,18.2,14.11,22.36,0,331,11.7,8.05,15.44,0,628,19.2,15.92,22.61,0,702,19.5,16.4,22.83,0,1330,19.4,17.06,21.6,0,3996039,3514043,4449198,true,false
GA,"Feb 8 - Feb 15, 2021",14,Statewide,Statewide,10297484,324,26,20.52,32.25,0,338,13.6,9.81,18.17,0,326,15.8,11.75,20.85,0,326,13.5,9.27,18.64,0,551,18.6,14.88,22.69,0,763,15.6,12.6,18.64,0,1314,17.1,14.92,19.62,0,1760870,1536385,2020366,true,false
HI,"Feb 4 - Feb 20, 2021",14,Statewide,Statewide,1422029,51,777,,,,399,3,1.26,4.99,0,378,2.8,1.2,4.93,0,477,1.5,0.39,2.78,0,458,2.9,0.76,6.19,0,847,2.4,1.31,3.56,0,1305,2.6,1.41,4.25,0,36973,20051,60436,true,false
IA,"Feb 4 - Feb 20, 2021",14,Statewide,Statewide,3132499,60,777,,,,665,20.8,17.74,24.07,0,327,22.2,18.01,26.9,0,242,11.6,7.74,16.07,0,559,24.6,20.07,29.69,0,735,20.2,15.9,24.66,0,1294,22.4,19.04,25.86,0,701680,596428,810064,true,false
ID,"Feb 5 - Feb 20, 2021",14,Statewide,Statewide,1687809,51,777,,,,537,14.8,11.57,18.68,0,325,20.3,15.21,25.43,0,405,12.4,9.11,15.92,0,502,20.2,12.63,28.08,0,816,15.9,12.08,20.68,0,1318,18,13.78,22.12,0,303806,232580,373343,true,false
IL,"Feb 8 - Feb 20, 2021",14,Statewide,Statewide,12821497,373,34.4,29.46,40.61,0,338,38,32.33,44.48,0,362,32.5,25.81,38.97,0,335,18.9,13.21,26.09,0,567,32.7,27.66,37.72,0,841,33.8,29.18,38.61,0,1408,33.3,30.29,36.5,0,4269559,3883631,4679846,true,false
IN,"Feb 4 - Feb 17, 2021",14,Statewide,Statewide,6637426,7,777,,,,510,25,20.04,30.25,0,188,13.6,7.44,20.3,0,157,9.8,3.79,16.21,0,219,17.7,12.14,23.33,0,643,23.7,20.17,27.58,0,862,20.8,17.2,24.37,0,1380585,1141637,1617541,true,false
KS,"Feb 1 - Feb 13, 2021",14,Statewide,Statewide,2908776,152,18,10.98,25.76,0,362,14.3,10.05,19.04,0,394,14.4,10.37,18.54,0,402,11.5,8.2,15.74,0,581,15,10.97,19.37,0,729,14.6,10.62,18.6,0,1310,14.8,12.02,17.74,0,430499,349635,516017,true,false
KY,"Feb 8 - Feb 20, 2021",14,Statewide,Statewide,4440204,275,22.8,17.49,27.98,0,341,24.2,19.28,29.55,0,374,18.7,14.22,23.38,0,377,14.7,11.24,18.38,0,641,23.8,19.93,28.15,0,726,18.9,15.66,22.51,0,1367,21.3,18.69,24.26,0,945763,829874,1077193,true,false
LA,"Feb 6 - Feb 20, 2021",14,Statewide,Statewide,4663616,213,22.5,15.09,30.72,0,361,13.6,9.43,18.02,0,361,11,7.36,14.71,0,363,12.8,8.96,17.3,0,539,13,9.25,17.01,0,759,17.1,13.3,21.11,0,1298,15.1,12.29,18.01,0,704206,573158,839917,true,false
MA,"Feb 8 - Feb 20, 2021",14,Statewide,Statewide,6830193,174,10.5,6.09,15.81,0,371,12.9,9.19,16.72,0,369,11.6,8.33,15.17,0,372,9.5,6.5,12.42,0,551,11.2,8.04,14.65,0,735,12,9.39,14.77,0,1286,11.6,9.57,13.75,0,792302,653649,939152,true,false
MD,"Feb 4 - Feb 18, 2021",14,Statewide,Statewide,6003435,38,777,,,,535,31.5,27.27,35.98,0,327,17.4,12.86,21.39,0,356,9.8,6.76,13.64,0,516,31.9,24.48,38.43,0,740,18,13.93,22.37,0,1256,24.7,21.13,28.31,0,1482848,1268526,1699572,true,false
ME,"Feb 8 - Feb 19, 2021",14,Statewide,Statewide,1332813,16,777,,,,238,4.2,1.46,7.35,0,163,4.5,0.8,8.8,0,154,1.1,0,3.72,1,237,3.7,1.17,6.57,0,334,3.2,1.06,5.69,0,571,3.4,1.82,5.36,0,45316,24257,71439,false,true
MI,"Feb 8 - Feb 21, 2021",14,Statewide,Statewide,9957488,89,21.1,12.12,29.95,0,410,21.3,17.37,25.3,0,448,17.1,12.92,21.16,0,389,12.1,8.89,16.12,0,522,17,12.93,21.13,0,814,20.7,17.31,24.43,0,1336,18.9,16.24,21.83,0,1881965,1617096,2173720,true,false
MN,"Feb 1 - Feb 16, 2021",14,Statewide,Statewide,5527358,130,13.5,7.79,20.13,0,434,17.6,13.58,22.03,0,413,19.5,14.51,24.62,0,320,15.5,10.06,21.07,0,535,17.3,13.63,21.05,0,762,16.1,12.73,19.46,0,1297,16.7,13.99,19.2,0,923069,773277,1061253,true,false
MO,"Feb 8 - Feb 21, 2021",14,Statewide,Statewide,6090062,169,24.8,17.65,33.36,0,380,30.6,24.42,37.12,0,369,18,13.74,22.7,0,347,11.4,6.8,16.69,0,554,24,19.23,29.51,0,711,23.2,18.62,27.6,0,1265,23.6,20.35,26.99,0,1437255,1239328,1643708,true,false
MS,"Feb 8 - Feb 21, 2021",14,Statewide,Statewide,2988762,91,31.2,20.94,41.26,0,393,25.1,20.87,29.52,0,393,25,20.26,29.22,0,371,17.8,13.54,21.82,0,484,24.6,19.6,29.88,0,764,26.3,21.97,30.55,0,1248,25.4,22.27,28.95,0,759146,665597,865247,true,false
MT,"Feb 2 - Feb 19, 2021",14,Statewide,Statewide,1041732,29,777,,,,193,15.4,10.27,21,0,115,12.2,5.97,18.94,0,115,9.6,4.01,15.57,0,185,14.7,8.55,21.38,0,267,17.9,11.93,24.8,0,452,16.3,11.79,20.98,0,169802,122820,218555,true,false
NC,"Feb 8 - Feb 18, 2021",14,Statewide,Statewide,10155624,325,21.1,16.42,25.49,0,327,23.9,19.5,28.59,0,330,18.9,14.46,23.84,0,327,13.1,9.68,17,0,539,21.1,17.54,25.22,0,770,20.1,16.98,23.21,0,1309,20.6,18.27,22.95,0,2092059,1855433,2330716,true,false
ND,"Feb 8 - Feb 17, 2021",14,Statewide,Statewide,752201,0,666,,,,0,666,,,,0,666,,,,3,777,,,,0,666,,,,3,777,,,,3,777,,,,,,,true,
NE,"Feb 5 - Feb 19, 2021",14,Statewide,Statewide,1904760,73,777,,,,719,17.9,15.08,20.63,0,341,21,16.44,25.49,0,170,17.8,11.79,24.77,0,636,21.1,16.73,26.01,0,667,16.4,12.72,20.6,0,1303,18.8,15.86,21.86,0,358095,302095,416381,true,false
NH,"Feb 8 - Feb 18, 2021",14,Statewide,Statewide,1343622,36,777,,,,527,7.1,4.93,9.52,0,416,8.3,5.63,11.28,0,321,3.6,1.56,6.16,0,531,6.4,3.78,9.46,0,769,8.6,5.05,12.66,0,1300,7.5,5.29,10.25,0,100772,71078,137721,true,false
NJ,"Feb 4 - Feb 18, 2021",14,Statewide,Statewide,8881845,204,34,27.08,41,0,321,24.7,19.74,29.66,0,327,19.6,15.27,24.04,0,338,14.1,10.34,18.59,0,454,25.3,21.11,29.7,0,736,22.9,19.32,26.26,0,1190,24,21.5,26.73,0,2131643,1909597,2374117,true,false
NM,"Feb 3 - Feb 17, 2021",14,Statewide,Statewide,2092434,130,21.9,14.37,30.81,0,390,17.8,13.57,22.13,0,388,16.9,12.86,20.75,0,390,9.7,6.6,12.78,0,500,17.2,13.01,22.39,0,798,17.3,14.21,20.65,0,1298,17.2,14.7,20.24,0,359899,307588,423509,true,false
NV,"Feb 8 - Feb 15, 2021",14,Statewide,Statewide,2922849,199,28.4,21.97,35.34,0,479,30,25.54,34.35,0,479,21,17.43,24.77,0,520,10.9,8.48,13.73,0,737,25.8,22.09,29.57,0,940,24.3,20.84,27.69,0,1677,25.1,22.45,27.63,0,733635,656180,807583,true,false
NY,"Feb 6 - Feb 20, 2021",14,Statewide,Statewide,19618453,206,13.9,9.37,18.7,0,393,13.7,9.75,17.19,0,405,14.5,10.94,18.24,0,304,12.9,9.07,16.86,0,594,14.9,11.48,18.52,0,714,12.6,9.96,15.45,0,1308,13.7,11.53,15.85,0,2687728,2262008,3109525,true,false
OH,"Feb 8 - Feb 20, 2021",14,Statewide,Statewide,11641879,232,33.6,27.54,39.32,0,392,37.9,33.38,43.4,0,503,27.1,22.85,30.97,0,430,19.1,14.91,22.8,0,794,38.6,34.94,42.58,0,763,24.9,21.59,28.44,0,1557,31.6,29.21,34.3,0,3678834,3400593,3993164,true,false
OK,"Feb 4 - Feb 13, 2021",14,Statewide,Statewide,3918137,238,26.7,20.96,32.62,0,324,19.2,14.61,23.48,0,324,17.5,13.31,22.1,0,410,10.5,7.32,13.89,0,545,18.4,14.75,22.14,0,751,20.4,17.06,23.86,0,1296,19.4,16.81,21.96,0,760119,658639,860423,true,false
OR,"Feb 3 - Feb 20, 2021",14,Statewide,Statewide,4081943,190,12.5,7.18,18.16,0,322,5,2.58,7.82,0,368,5.7,3.08,8.7,0,429,4.5,2.37,6.79,0,543,7.5,5.04,10.21,0,766,5.8,3.63,7.94,0,1309,6.7,4.98,8.3,0,273490,203281,338801,true,false
PA,"Feb 8 - Feb 20, 2021",14,Statewide,Statewide,12791181,398,21.9,17.29,28.07,0,372,23.5,18.68,27.98,0,384,21.7,15.83,29.77,0,331,12,8.24,16.29,0,619,23.1,18.99,27.58,0,866,18.6,15.68,21.61,0,1485,20.8,18.15,23.37,0,2660566,2321599,2989299,true,false
PR,"Feb 8 - Feb 16, 2021",14,Statewide,Statewide,3386941,325,4.3,2.11,7.04,0,326,24.7,19.48,30.26,0,325,17.6,13.01,22.76,0,326,13.9,9.72,18.89,0,516,14.8,11.04,18.85,0,786,19.2,15.98,23.16,0,1302,17.1,14.53,20.28,0,579167,492123,686872,true,false
RI,"Feb 8 - Feb 20, 2021",14,Statewide,Statewide,1056611,117,12.8,6.78,20.18,0,482,15.6,12.27,19.02,0,348,13.1,9.44,17.31,0,323,11,7.43,14.74,0,503,14.8,11.7,18.2,0,767,12.8,9.83,15.31,0,1270,13.8,11.68,15.84,0,145812,123412,167367,true,false
SC,"Feb 8 - Feb 18, 2021",14,Statewide,Statewide,4955925,330,27.3,22.82,32.33,0,330,29.6,24.3,35.25,0,328,27.3,22.37,32.38,0,329,17.3,12.85,21.42,0,567,26.2,22.53,30.21,0,750,26.9,23.24,30.62,0,1317,26.6,23.92,29.34,0,1318276,1185457,1454068,true,false
SD,"Feb 8 - Feb 19, 2021",14,Statewide,Statewide,864289,4,777,,,,18,777,,,,19,777,,,,20,777,,,,28,777,,,,33,777,,,,61,777,,,,,,,true,
TN,"Feb 8 - Feb 12, 2021",14,Statewide,Statewide,6651089,124,40.8,32.29,49.9,0,249,27,21.29,33.01,0,445,21.5,17.41,25.5,0,532,15.9,12.8,19.15,0,618,25.1,20.36,30.82,0,732,29.3,24.48,34.25,0,1350,27.3,24.04,30.6,0,1815747,1598922,2035233,true,false
TX,"Feb 7 - Feb 17, 2021",14,Statewide,Statewide,27885195,41,777,,,,246,31.4,24.95,38.08,0,244,22.9,17.03,28.72,0,170,16.8,10.32,23.9,0,321,22.5,17.21,28.03,0,380,32.9,24.22,41.1,0,701,27.7,22.36,33.04,0,7724199,6235130,9213268,true,false
UT,"Feb 8 - Feb 19, 2021",14,Statewide,Statewide,3045350,136,39.7,30.72,49.25,0,383,26,20.95,31.35,0,369,25.1,19.9,30.53,0,340,13.4,9.91,17.48,0,451,29,22.2,35.3,0,777,28.4,23.83,33.1,0,1228,28.7,24.88,32.75,0,874015,757683,997352,true,false
VA,"Feb 4 - Feb 18, 2021",14,Statewide,Statewide,8413774,15,777,,,,333,12.9,8.99,17.09,0,344,8.8,5.72,12.12,0,333,6.8,3.94,9.96,0,410,8.4,4.67,12.74,0,615,12.5,9.06,16.46,0,1025,10.5,7.42,13.35,0,883446,624302,1123239,false,false
VT,"Feb 8 - Feb 19, 2021",14,Statewide,Statewide,624977,19,777,,,,275,0.5,0,1.45,1,148,2.5,0,6.48,1,141,1.9,0,4.85,1,191,0.9,0,2.7,1,392,1.3,0.26,2.81,0,583,1.1,0.22,2.12,0,6875,1375,13250,false,true
WA,"Feb 4 - Feb 20, 2021",14,Statewide,Statewide,7294336,265,11.8,7.94,16,0,324,8.2,5.06,11.5,0,330,4.6,2.16,7.44,0,388,4.2,2.37,6.4,0,551,6.6,4.33,9.06,0,756,8.8,6.42,11.67,0,1307,7.7,6.04,9.65,0,561664,440578,703903,true,false
WI,"Feb 8 - Feb 20, 2021",14,Statewide,Statewide,5778394,104,33.1,23.1,44.28,0,356,30,24.52,37.01,0,339,27.2,21.23,33.38,0,409,19.4,14.47,25.11,0,469,31.9,26.05,38.72,0,739,25,20.71,29.48,0,1208,28.4,24.85,32.51,0,1641064,1435931,1878556,true,false
WV,"Feb 5 - Feb 20, 2021",14,Statewide,Statewide,1829054,36,777,,,,348,8.2,5.19,11.35,0,304,12.5,8.75,17.22,0,266,8.4,4.88,12.71,0,404,9.9,5.61,15.12,0,550,13.1,9.17,17.48,0,954,11.5,8.31,15.06,0,210341,151994,275456,true,false
WY,"Feb 8 - Feb 19, 2021",14,Statewide,Statewide,581836,2,777,,,,47,777,,,,36,777,,,,38,777,,,,39,777,,,,84,23.6,12.57,35.86,0,123,22.6,12.47,34.57,0,131495,72555,201141,false,false
US,"Feb 1 - Feb 21, 2021",14,50 States & DC,50 States & DC,322903030,7693,25.3,23.96,26.49,0,18756,21.8,20.98,22.59,0,16665,18.1,17.25,18.94,0,16353,12.4,11.66,13.14,0,24816,20.6,19.89,21.34,0,34651,19.5,18.91,20.15,0,59467,20,19.52,20.54,0,64580606,63030671,66324282,true,false
